id,title,genre,year,director,rating
1,However must painting article,Horror,1990,Denise Smith,2.8
2,Friend cost,Action,1997,Christine Johnson,2.8
3,Pm marriage board,Thriller,1979,Dwayne Smith,5.9
4,Course poor,Romance,2001,Jennifer Smith,8.1
5,Cold kid right season,Drama,1991,Evan Taylor,1.8
6,Modern world international,Action,2017,Dwayne Smith,5.6
7,On data,Comedy,2001,Craig Thompson,2.5
8,Keep how later,Drama,2000,Susan Cruz,1.7
9,Room summer,Horror,2016,Brandon Russo,8.6
10,Add player several,Drama,1974,Brady Rose,8.0
11,Task past,Thriller,2017,Chelsea Khan,5.9
12,Tough culture school,Horror,2024,Jody Hoffman,7.5
13,Walk article,Romance,1966,Gregory Saunders,6.7
14,Happy somebody stuff,Horror,1971,Kaylee Gallegos,7.0
15,Ever tonight level,Romance,2006,John Phillips,6.8
16,Hold history country picture,Drama,2006,Cindy Dean,1.1
17,Cup international,Drama,2020,Samantha Lyons,8.2
18,Another speech small,Horror,2007,Tina Gray,2.7
19,With seat budget lawyer,Thriller,1957,Dominique Carr,6.9
20,Establish son night group,Sci-Fi,1961,Matthew Peters,9.3
21,Pass evidence shoulder,Horror,2004,Rodney Rose,9.6
22,Sit friend he simply,Thriller,2021,Lisa Harris,3.5
23,Push fight,Documentary,1962,Erika Douglas,2.6
24,Wall second store,Romance,1990,Anthony Davis,4.6
25,Most two similar,Action,2023,Kevin Guerra,7.3
26,Eat almost his,Sci-Fi,1952,Kenneth Brown,8.3
27,Resource own,Action,1963,Michael Rivera,8.0
28,Benefit,Romance,1978,Rodney Rose,9.5
29,Candidate sister,Romance,1971,Jeffrey Rivera,6.5
30,Partner window where,Comedy,2003,Christine Benjamin,1.5
31,Natural grow fish,Horror,2023,John Copeland,1.3
32,American suffer,Sci-Fi,1964,Jasmine Howell DDS,8.5
33,Rock seek go,Sci-Fi,2004,Alicia Long,10.0
34,Put evidence group,Documentary,1963,Tara Ford,7.6
35,College method fund,Documentary,2017,Mark Lynch,2.4
36,Mr long,Horror,1956,Chelsea Khan,4.8
37,Sea pay,Thriller,1953,Chad Dyer,6.6
38,Response yes,Drama,1963,Catherine Johnson,8.8
39,Stage more remain,Thriller,1952,Greg Nunez,1.9
40,Building film establish,Action,1968,Jasmine Howell DDS,4.6
41,Once high,Horror,1959,Gregory Guzman,7.0
42,Bring,Comedy,2023,Anna Ray,6.8
43,Marriage,Thriller,1981,Joseph Sanders,9.9
44,Ahead base,Drama,1994,Anna Hanson,9.8
45,Evening property task,Documentary,2018,Kaylee Gallegos,8.0
46,Run respond,Sci-Fi,1989,Michael Holden PhD,7.2
47,Lead miss,Thriller,1957,Erika Douglas,6.2
48,Education,Sci-Fi,1976,Rodney Rose,4.5
49,Miss peace detail,Thriller,1997,Samuel Bender,1.5
50,West join,Documentary,2014,Christopher Davis,9.5
51,Green report take free,Documentary,2024,Antonio Price,6.8
52,Fast,Horror,1960,Tina Gray,8.1
53,Child red,Drama,1950,Danielle Dyer,8.7
54,Continue former change,Action,1972,Evan Taylor,5.9
55,Her land lay,Romance,2005,John Copeland,5.1
56,Turn area arm,Drama,1961,Renee Bullock MD,2.4
57,Truth,Romance,1971,Cindy Dean,4.2
58,Sound,Sci-Fi,2000,Gregory Watts,8.8
59,Size education company,Sci-Fi,1953,Andrew Johnston,5.1
60,Traditional either guess,Comedy,2018,Christine Johnson,4.6
61,Radio trade operation,Thriller,1957,Craig Thompson,3.7
62,Society technology camera,Comedy,2023,Tammy Mcgee,5.5
63,Cold artist,Action,1954,Jasmine Howell DDS,3.5
64,Since young action out,Horror,1986,Timothy Young,7.2
65,Research statement free,Comedy,2007,Brian Kelley,5.9
66,Raise rate yes,Documentary,1980,Kenneth Brown,6.9
67,Guess often,Romance,1962,Lisa Forbes,6.5
68,Their say,Comedy,1961,Brandon Russo,7.1
69,Since many,Romance,1970,Tara Ford,6.0
70,Result bill,Romance,1972,Timothy Hill,5.1
71,Our rate major,Thriller,1995,Erika Douglas,9.3
72,Western help,Horror,2021,Tonya Howard,9.5
73,Four particularly,Thriller,2003,Antonio Price,3.4
